time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-26 00:00:00+00:00,0,0,1,1
2024-10-29 00:00:00+00:00,0,0,12,1
2024-10-31 00:00:00+00:00,0,0,2,1
2024-11-03 00:00:00+00:00,1,1,0,0
2024-11-14 00:00:00+00:00,1,1,0,0
2024-11-15 00:00:00+00:00,1,1,8,1
2024-11-20 00:00:00+00:00,0,0,2,2
2024-11-22 00:00:00+00:00,0,0,1,1
2024-11-28 00:00:00+00:00,0,0,9,3
2024-12-01 00:00:00+00:00,1,1,0,0
2024-12-11 00:00:00+00:00,1,1,0,0
2024-12-28 00:00:00+00:00,0,0,1,1
2025-01-17 00:00:00+00:00,1,1,0,0
2025-01-31 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,0,0,1,1
2025-02-06 00:00:00+00:00,1,1,0,0
2025-02-21 00:00:00+00:00,0,0,1,1
2025-02-24 00:00:00+00:00,0,0,1,1
2025-02-25 00:00:00+00:00,0,0,1,1
2025-02-26 00:00:00+00:00,0,0,2,1
2025-03-06 00:00:00+00:00,0,0,3,1
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,2,2,0,0
2025-03-12 00:00:00+00:00,1,1,0,0
2025-03-18 00:00:00+00:00,0,0,1,1
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-24 00:00:00+00:00,0,0,7,1
2025-03-30 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-25 00:00:00+00:00,2,2,0,0
2025-05-02 00:00:00+00:00,1,1,0,0
2025-05-21 00:00:00+00:00,0,0,1,1
2025-06-15 00:00:00+00:00,1,1,0,0
2025-06-24 00:00:00+00:00,1,1,0,0
2025-06-25 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-31 00:00:00+00:00,0,0,1,1
2025-08-11 00:00:00+00:00,1,1,0,0
2025-08-20 00:00:00+00:00,0,0,2,1
2025-08-22 00:00:00+00:00,0,0,3,1
2025-08-25 00:00:00+00:00,0,0,2,1
2025-09-03 00:00:00+00:00,1,1,0,0
2025-09-15 00:00:00+00:00,1,1,0,0
2025-09-28 00:00:00+00:00,1,1,0,0
2025-10-01 00:00:00+00:00,1,1,0,0
2025-10-07 00:00:00+00:00,1,1,0,0
2025-10-17 00:00:00+00:00,1,1,0,0
2025-10-20 00:00:00+00:00,1,1,0,0
2025-10-22 00:00:00+00:00,1,1,0,0
2025-10-25 00:00:00+00:00,1,1,0,0
2025-11-01 00:00:00+00:00,1,1,0,0
2025-11-06 00:00:00+00:00,1,1,1,1
2025-11-13 00:00:00+00:00,1,1,0,0
2025-11-18 00:00:00+00:00,1,1,0,0
2025-11-19 00:00:00+00:00,1,1,0,0
2025-12-01 00:00:00+00:00,0,0,1,1
2025-12-05 00:00:00+00:00,2,2,0,0
2025-12-08 00:00:00+00:00,1,1,0,0
2025-12-17 00:00:00+00:00,0,0,0,0
2025-12-18 00:00:00+00:00,0,0,0,0
2025-12-19 00:00:00+00:00,0,0,1,1
2025-12-20 00:00:00+00:00,0,0,0,0
2025-12-21 00:00:00+00:00,0,0,0,0
2025-12-22 00:00:00+00:00,0,0,0,0
2025-12-23 00:00:00+00:00,0,0,0,0
2025-12-24 00:00:00+00:00,1,1,0,0
2025-12-25 00:00:00+00:00,0,0,0,0
2025-12-26 00:00:00+00:00,1,1,0,0
2025-12-27 00:00:00+00:00,0,0,0,0
2025-12-28 00:00:00+00:00,0,0,0,0
2025-12-29 00:00:00+00:00,0,0,0,0
2025-12-30 00:00:00+00:00,0,0,0,0
2025-12-31 00:00:00+00:00,0,0,0,0
2026-01-01 00:00:00+00:00,0,0,0,0
2026-01-02 00:00:00+00:00,0,0,0,0
2026-01-03 00:00:00+00:00,0,0,0,0
2026-01-04 00:00:00+00:00,0,0,0,0
2026-01-05 00:00:00+00:00,0,0,0,0
